,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,H11,SYBR,,NTC,,Day 1,38.4892924087126,38.4892924087126,0,NaN,NaN,NaN,0,60,
,H12,SYBR,,NTC,,Day 1,39.5661427607446,39.5661427607446,0,NaN,NaN,NaN,0,60,
,B01,SYBR,,Std-01,,Normal,28.1563738547839,27.2580159189242,0.783287856746329,1,0,1,0,60,
,C01,SYBR,,Std-01,,Normal,27.5848019331603,27.2580159189242,0.783287856746329,1,0,1,0,60,
,D01,SYBR,,Std-01,,Normal,26.9971680585236,27.2580159189242,0.783287856746329,1,0,1,0,60,
,E01,SYBR,,Std-01,,Normal,27.4855679182876,27.2580159189242,0.783287856746329,1,0,1,0,60,
,F01,SYBR,,Std-01,,Normal,26.0661678298656,27.2580159189242,0.783287856746329,1,0,1,0,60,
,B07,SYBR,,Std-02,,Normal,28.992375759861,27.5944695996249,0.859314711849175,1,0,1,0,60,
,C07,SYBR,,Std-02,,Normal,27.5869210547468,27.5944695996249,0.859314711849175,1,0,1,0,60,
,D07,SYBR,,Std-02,,Normal,27.2651369601647,27.5944695996249,0.859314711849175,1,0,1,0,60,
,E07,SYBR,,Std-02,,Normal,27.4690135864379,27.5944695996249,0.859314711849175,1,0,1,0,60,
,F07,SYBR,,Std-02,,Normal,26.6589006369143,27.5944695996249,0.859314711849175,1,0,1,0,60,
,B02,SYBR,,Std-03,,Day 1,25.7460832813998,25.9782277306396,0.464406261267895,1,0,1,0,60,
,C02,SYBR,,Std-03,,Day 1,26.499567046467,25.9782277306396,0.464406261267895,1,0,1,0,60,
,D02,SYBR,,Std-03,,Day 1,26.0650908596884,25.9782277306396,0.464406261267895,1,0,1,0,60,
,E02,SYBR,,Std-03,,Day 1,26.269130859145,25.9782277306396,0.464406261267895,1,0,1,0,60,
,F02,SYBR,,Std-03,,Day 1,25.3112666064977,25.9782277306396,0.464406261267895,1,0,1,0,60,
,B08,SYBR,,Std-04,,Day 1,26.2320418091187,26.3749383457729,0.300015304169325,1,0,1,0,60,
,C08,SYBR,,Std-04,,Day 1,26.9043739272116,26.3749383457729,0.300015304169325,1,0,1,0,60,
,D08,SYBR,,Std-04,,Day 1,26.3115739796948,26.3749383457729,0.300015304169325,1,0,1,0,60,
,E08,SYBR,,Std-04,,Day 1,26.252589358163,26.3749383457729,0.300015304169325,1,0,1,0,60,
,F08,SYBR,,Std-04,,Day 1,26.1741126546762,26.3749383457729,0.300015304169325,1,0,1,0,60,
,B03,SYBR,,Std-05,,Day 3,27.0076132768194,26.9836488405166,0.521550867178309,1,0,1,0,60,
,C03,SYBR,,Std-05,,Day 3,27.1541106062861,26.9836488405166,0.521550867178309,1,0,1,0,60,
,D03,SYBR,,Std-05,,Day 3,26.3472829923258,26.9836488405166,0.521550867178309,1,0,1,0,60,
,E03,SYBR,,Std-05,,Day 3,27.7317869964032,26.9836488405166,0.521550867178309,1,0,1,0,60,
,F03,SYBR,,Std-05,,Day 3,26.6774503307484,26.9836488405166,0.521550867178309,1,0,1,0,60,
,B09,SYBR,,Std-06,,Day 3,26.1846405396965,26.665152086973,0.501817550034462,1,0,1,0,60,
,C09,SYBR,,Std-06,,Day 3,26.8330712209924,26.665152086973,0.501817550034462,1,0,1,0,60,
,D09,SYBR,,Std-06,,Day 3,26.4868490160197,26.665152086973,0.501817550034462,1,0,1,0,60,
