Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
B01,SYBR,,Std-01,,Normal,29.13267913,27.77041746,0.942283455,1,0,1,0,60,
B02,SYBR,,Std-03,,Day 1,26.86411702,26.74862706,0.434899923,1,0,1,0,60,
B03,SYBR,,Std-05,,Day 3,27.01518373,27.63290533,0.649374007,1,0,1,0,60,
B04,SYBR,,Std-07,,Day 3,28.95502422,28.09246689,0.984043864,1,0,1,0,60,
B05,SYBR,,Std-09,,Day 7,29.89365854,29.0000551,0.84249713,1,0,1,0,60,
B06,SYBR,,Std-11,,Day 14,29.04284794,29.66929569,0.692862688,1,0,1,0,60,
B07,SYBR,,Std-02,,Normal,28.62642438,28.29362714,1.043574289,1,0,1,0,60,
B08,SYBR,,Std-04,,Day 1,27.93293954,26.96229024,0.783580321,1,0,1,0,60,
B09,SYBR,,Std-06,,Day 3,27.13394792,27.63382139,0.544351546,1,0,1,0,60,
B10,SYBR,,Std-08,,Day 3,28.43079881,27.96798856,0.890457286,1,0,1,0,60,
B11,SYBR,,Std-10,,Day 7,30.0033606,28.95426046,0.915848391,1,0,1,0,60,
B12,SYBR,,Std-12,,Day 14,29.31852199,29.92795056,0.853754563,1,0,1,0,60,
C01,SYBR,,Std-01,,Normal,26.584799,27.77041746,0.942283455,1,0,1,0,60,
C02,SYBR,,Std-03,,Day 1,26.73456791,26.74862706,0.434899923,1,0,1,0,60,
C03,SYBR,,Std-05,,Day 3,27.96931882,27.63290533,0.649374007,1,0,1,0,60,
C04,SYBR,,Std-07,,Day 3,26.93794282,28.09246689,0.984043864,1,0,1,0,60,
C05,SYBR,,Std-09,,Day 7,29.81800128,29.0000551,0.84249713,1,0,1,0,60,
C06,SYBR,,Std-11,,Day 14,30.62467701,29.66929569,0.692862688,1,0,1,0,60,
C07,SYBR,,Std-02,,Normal,27.59177068,28.29362714,1.043574289,1,0,1,0,60,
C08,SYBR,,Std-04,,Day 1,27.61746601,26.96229024,0.783580321,1,0,1,0,60,
C09,SYBR,,Std-06,,Day 3,28.2260874,27.63382139,0.544351546,1,0,1,0,60,
C10,SYBR,,Std-08,,Day 3,26.8930822,27.96798856,0.890457286,1,0,1,0,60,
C11,SYBR,,Std-10,,Day 7,29.69930989,28.95426046,0.915848391,1,0,1,0,60,
C12,SYBR,,Std-12,,Day 14,31.22956277,29.92795056,0.853754563,1,0,1,0,60,
D01,SYBR,,Std-01,,Normal,27.38328198,27.77041746,0.942283455,1,0,1,0,60,
D02,SYBR,,Std-03,,Day 1,26.52295914,26.74862706,0.434899923,1,0,1,0,60,
D03,SYBR,,Std-05,,Day 3,27.70322326,27.63290533,0.649374007,1,0,1,0,60,
D04,SYBR,,Std-07,,Day 3,27.75622107,28.09246689,0.984043864,1,0,1,0,60,
D05,SYBR,,Std-09,,Day 7,28.53101028,29.0000551,0.84249713,1,0,1,0,60,
D06,SYBR,,Std-11,,Day 14,30.15473956,29.66929569,0.692862688,1,0,1,0,60,
