Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
B01,SYBR,,Std-01,,Normal,26.17297335,26.40826616,0.674621705,1,0,1,0,60,
B02,SYBR,,Std-03,,Day 1,25.66707899,25.55654323,0.705719846,1,0,1,0,60,
B03,SYBR,,Std-05,,Day 3,25.44563931,26.93535459,1.196902496,1,0,1,0,60,
B04,SYBR,,Std-07,,Day 3,28.49355305,27.69587495,0.724459858,1,0,1,0,60,
B05,SYBR,,Std-09,,Day 7,28.21527187,28.15173556,1.101740458,1,0,1,0,60,
B06,SYBR,,Std-11,,Day 14,28.57668523,28.90047011,0.766709324,1,0,1,0,60,
B07,SYBR,,Std-02,,Normal,25.90368648,26.10074096,0.42721059,1,0,1,0,60,
B08,SYBR,,Std-04,,Day 1,25.7169945,25.79017191,0.50255694,1,0,1,0,60,
B09,SYBR,,Std-06,,Day 3,25.07505366,26.77073603,1.227719614,1,0,1,0,60,
B10,SYBR,,Std-08,,Day 3,28.46187819,27.46304187,1.057077543,1,0,1,0,60,
B11,SYBR,,Std-10,,Day 7,28.08315248,27.89969956,1.111231123,1,0,1,0,60,
B12,SYBR,,Std-12,,Day 14,28.77568755,28.88260874,0.765271977,1,0,1,0,60,
C01,SYBR,,Std-01,,Normal,27.36721364,26.40826616,0.674621705,1,0,1,0,60,
C02,SYBR,,Std-03,,Day 1,25.70089618,25.55654323,0.705719846,1,0,1,0,60,
C03,SYBR,,Std-05,,Day 3,27.81027503,26.93535459,1.196902496,1,0,1,0,60,
C04,SYBR,,Std-07,,Day 3,26.70309991,27.69587495,0.724459858,1,0,1,0,60,
C05,SYBR,,Std-09,,Day 7,29.41734483,28.15173556,1.101740458,1,0,1,0,60,
C06,SYBR,,Std-11,,Day 14,30.21530326,28.90047011,0.766709324,1,0,1,0,60,
C07,SYBR,,Std-02,,Normal,26.33259558,26.10074096,0.42721059,1,0,1,0,60,
C08,SYBR,,Std-04,,Day 1,25.66255437,25.79017191,0.50255694,1,0,1,0,60,
C09,SYBR,,Std-06,,Day 3,27.6513023,26.77073603,1.227719614,1,0,1,0,60,
C10,SYBR,,Std-08,,Day 3,25.791043,27.46304187,1.057077543,1,0,1,0,60,
C11,SYBR,,Std-10,,Day 7,29.12434341,27.89969956,1.111231123,1,0,1,0,60,
C12,SYBR,,Std-12,,Day 14,30.21997024,28.88260874,0.765271977,1,0,1,0,60,
D01,SYBR,,Std-01,,Normal,26.75852115,26.40826616,0.674621705,1,0,1,0,60,
D02,SYBR,,Std-03,,Day 1,24.54827294,25.55654323,0.705719846,1,0,1,0,60,
D03,SYBR,,Std-05,,Day 3,26.0354593,26.93535459,1.196902496,1,0,1,0,60,
D04,SYBR,,Std-07,,Day 3,28.28539132,27.69587495,0.724459858,1,0,1,0,60,
D05,SYBR,,Std-09,,Day 7,28.2073789,28.15173556,1.101740458,1,0,1,0,60,
D06,SYBR,,Std-11,,Day 14,28.27378834,28.90047011,0.766709324,1,0,1,0,60,
D07,SYBR,,Std-02,,Normal,26.7340693,26.10074096,0.42721059,1,0,1,0,60,
D08,SYBR,,Std-04,,Day 1,25.37691877,25.79017191,0.50255694,1,0,1,0,60,
D09,SYBR,,Std-06,,Day 3,25.98245403,26.77073603,1.227719614,1,0,1,0,60,
D10,SYBR,,Std-08,,Day 3,28.26815727,27.46304187,1.057077543,1,0,1,0,60,
D11,SYBR,,Std-10,,Day 7,27.98728458,27.89969956,1.111231123,1,0,1,0,60,
D12,SYBR,,Std-12,,Day 14,28.62037479,28.88260874,0.765271977,1,0,1,0,60,
E01,SYBR,,Std-01,,Normal,26.14167706,26.40826616,0.674621705,1,0,1,0,60,
E02,SYBR,,Std-03,,Day 1,26.50712652,25.55654323,0.705719846,1,0,1,0,60,
E03,SYBR,,Std-05,,Day 3,28.32063688,26.93535459,1.196902496,1,0,1,0,60,
E04,SYBR,,Std-07,,Day 3,27.66016263,27.69587495,0.724459858,1,0,1,0,60,
E05,SYBR,,Std-09,,Day 7,28.52882887,28.15173556,1.101740458,1,0,1,0,60,
E06,SYBR,,Std-11,,Day 14,28.54705838,28.90047011,0.766709324,1,0,1,0,60,
E07,SYBR,,Std-02,,Normal,25.68560295,26.10074096,0.42721059,1,0,1,0,60,
E08,SYBR,,Std-04,,Day 1,26.65813582,25.79017191,0.50255694,1,0,1,0,60,
E09,SYBR,,Std-06,,Day 3,28.05803516,26.77073603,1.227719614,1,0,1,0,60,
E10,SYBR,,Std-08,,Day 3,27.49575922,27.46304187,1.057077543,1,0,1,0,60,
E11,SYBR,,Std-10,,Day 7,28.21950276,27.89969956,1.111231123,1,0,1,0,60,
E12,SYBR,,Std-12,,Day 14,28.34791677,28.88260874,0.765271977,1,0,1,0,60,
F01,SYBR,,Std-01,,Normal,25.60094559,26.40826616,0.674621705,1,0,1,0,60,
F02,SYBR,,Std-03,,Day 1,25.35934153,25.55654323,0.705719846,1,0,1,0,60,
F03,SYBR,,Std-05,,Day 3,27.06476245,26.93535459,1.196902496,1,0,1,0,60,
F04,SYBR,,Std-07,,Day 3,27.33716784,27.69587495,0.724459858,1,0,1,0,60,
F05,SYBR,,Std-09,,Day 7,26.38985335,28.15173556,1.101740458,1,0,1,0,60,
F06,SYBR,,Std-11,,Day 14,28.88951537,28.90047011,0.766709324,1,0,1,0,60,
F07,SYBR,,Std-02,,Normal,25.8477505,26.10074096,0.42721059,1,0,1,0,60,
F08,SYBR,,Std-04,,Day 1,25.53625611,25.79017191,0.50255694,1,0,1,0,60,
F09,SYBR,,Std-06,,Day 3,27.08683502,26.77073603,1.227719614,1,0,1,0,60,
F10,SYBR,,Std-08,,Day 3,27.29837164,27.46304187,1.057077543,1,0,1,0,60,
F11,SYBR,,Std-10,,Day 7,26.08421459,27.89969956,1.111231123,1,0,1,0,60,
F12,SYBR,,Std-12,,Day 14,28.44909435,28.88260874,0.765271977,1,0,1,0,60,
G02,SYBR,,Std-13,,Day 21,27.7169949,27.57709622,0.948449096,1,0,1,0,60,
G03,SYBR,,Std-13,,Day 21,26.00885866,27.57709622,0.948449096,1,0,1,0,60,
G04,SYBR,,Std-13,,Day 21,27.61103625,27.57709622,0.948449096,1,0,1,0,60,
G05,SYBR,,Std-13,,Day 21,28.54444014,27.57709622,0.948449096,1,0,1,0,60,
G06,SYBR,,Std-13,,Day 21,28.00415112,27.57709622,0.948449096,1,0,1,0,60,
G07,SYBR,,Std-14,,Day 21,28.19472053,27.86694441,0.728496023,1,0,1,0,60,
G08,SYBR,,Std-14,,Day 21,26.56681492,27.86694441,0.728496023,1,0,1,0,60,
G09,SYBR,,Std-14,,Day 21,28.16986355,27.86694441,0.728496023,1,0,1,0,60,
G10,SYBR,,Std-14,,Day 21,28.26956161,27.86694441,0.728496023,1,0,1,0,60,
G11,SYBR,,Std-14,,Day 21,28.13376144,27.86694441,0.728496023,1,0,1,0,60,
H11,SYBR,,NTC,,Day 1,NaN,0,0,NaN,NaN,0,0,60,
H12,SYBR,,NTC,,Day 1,NaN,0,0,NaN,NaN,0,0,60,
