Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
H12,SYBR,,NTC,,Day 1,NaN,0,0,NaN,NaN,0,0,60,
H11,SYBR,,NTC,,Day 21,NaN,0,0,NaN,NaN,0,0,60,
F01,SYBR,,Std-01,,Normal,23.13796271,23.60027084,0.350414166,1,0,1,0,60,
E01,SYBR,,Std-01,,Normal,23.96725331,23.60027084,0.350414166,1,0,1,0,60,
D01,SYBR,,Std-01,,Normal,23.88290799,23.60027084,0.350414166,1,0,1,0,60,
C01,SYBR,,Std-01,,Normal,23.35606801,23.60027084,0.350414166,1,0,1,0,60,
B01,SYBR,,Std-01,,Normal,23.65716219,23.60027084,0.350414166,1,0,1,0,60,
B07,SYBR,,Std-02,,Normal,23.98877098,23.43919819,0.424234994,1,0,1,0,60,
D07,SYBR,,Std-02,,Normal,23.8041787,23.43919819,0.424234994,1,0,1,0,60,
E07,SYBR,,Std-02,,Normal,23.07632787,23.43919819,0.424234994,1,0,1,0,60,
F07,SYBR,,Std-02,,Normal,23.14325242,23.43919819,0.424234994,1,0,1,0,60,
C07,SYBR,,Std-02,,Normal,23.18346097,23.43919819,0.424234994,1,0,1,0,60,
D02,SYBR,,Std-03,,Day 1,22.19980024,22.48628456,0.586000781,1,0,1,0,60,
E02,SYBR,,Std-03,,Day 1,21.7322191,22.48628456,0.586000781,1,0,1,0,60,
B02,SYBR,,Std-03,,Day 1,22.60833518,22.48628456,0.586000781,1,0,1,0,60,
F02,SYBR,,Std-03,,Day 1,22.5672598,22.48628456,0.586000781,1,0,1,0,60,
C02,SYBR,,Std-03,,Day 1,23.32380849,22.48628456,0.586000781,1,0,1,0,60,
E08,SYBR,,Std-04,,Day 1,22.0030406,22.3702298,0.547140357,1,0,1,0,60,
C08,SYBR,,Std-04,,Day 1,23.16758513,22.3702298,0.547140357,1,0,1,0,60,
B08,SYBR,,Std-04,,Day 1,22.68068864,22.3702298,0.547140357,1,0,1,0,60,
F08,SYBR,,Std-04,,Day 1,21.83228754,22.3702298,0.547140357,1,0,1,0,60,
D08,SYBR,,Std-04,,Day 1,22.16754707,22.3702298,0.547140357,1,0,1,0,60,
D03,SYBR,,Std-05,,Day 3,23.84413227,23.29503346,0.839671541,1,0,1,0,60,
F03,SYBR,,Std-05,,Day 3,23.20116006,23.29503346,0.839671541,1,0,1,0,60,
B03,SYBR,,Std-05,,Day 3,22.99188824,23.29503346,0.839671541,1,0,1,0,60,
C03,SYBR,,Std-05,,Day 3,22.12208629,23.29503346,0.839671541,1,0,1,0,60,
E03,SYBR,,Std-05,,Day 3,24.31590044,23.29503346,0.839671541,1,0,1,0,60,
C09,SYBR,,Std-06,,Day 3,22.36649525,23.13194389,0.641536739,1,0,1,0,60,
D09,SYBR,,Std-06,,Day 3,23.46057357,23.13194389,0.641536739,1,0,1,0,60,
F09,SYBR,,Std-06,,Day 3,NaN,0,0,1,0,0,0,60,
B09,SYBR,,Std-06,,Day 3,22.8784457,23.13194389,0.641536739,1,0,1,0,60,
E09,SYBR,,Std-06,,Day 3,23.82226102,23.13194389,0.641536739,1,0,1,0,60,
C04,SYBR,,Std-07,,Day 3,22.65947078,23.14016358,0.738913331,1,0,1,0,60,
E04,SYBR,,Std-07,,Day 3,22.19307272,23.14016358,0.738913331,1,0,1,0,60,
D04,SYBR,,Std-07,,Day 3,23.32538743,23.14016358,0.738913331,1,0,1,0,60,
B04,SYBR,,Std-07,,Day 3,24.11474199,23.14016358,0.738913331,1,0,1,0,60,
F04,SYBR,,Std-07,,Day 3,23.40814496,23.14016358,0.738913331,1,0,1,0,60,
D10,SYBR,,Std-08,,Day 3,22.26673195,23.02073318,0.952372889,1,0,1,0,60,
E10,SYBR,,Std-08,,Day 3,22.00080475,23.02073318,0.952372889,1,0,1,0,60,
C10,SYBR,,Std-08,,Day 3,22.80787933,23.02073318,0.952372889,1,0,1,0,60,
F10,SYBR,,Std-08,,Day 3,24.00140749,23.02073318,0.952372889,1,0,1,0,60,
B10,SYBR,,Std-08,,Day 3,24.0268424,23.02073318,0.952372889,1,0,1,0,60,
E05,SYBR,,Std-09,,Day 7,24.20340814,24.00191623,0.757761059,1,0,1,0,60,
D05,SYBR,,Std-09,,Day 7,23.07661205,24.00191623,0.757761059,1,0,1,0,60,
B05,SYBR,,Std-09,,Day 7,24.71717344,24.00191623,0.757761059,1,0,1,0,60,
F05,SYBR,,Std-09,,Day 7,23.33971382,24.00191623,0.757761059,1,0,1,0,60,
C05,SYBR,,Std-09,,Day 7,24.67267369,24.00191623,0.757761059,1,0,1,0,60,
E11,SYBR,,Std-10,,Day 7,24.25883572,24.2316737,0.365378501,1,0,1,0,60,
B11,SYBR,,Std-10,,Day 7,24.56629085,24.2316737,0.365378501,1,0,1,0,60,
