,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B03,SYBR,,Std-1,,,22.8281437474661,23.1546926038921,0.461809821535018,1,0,1,0,60,
,B04,SYBR,,Std-1,,,23.4812414603181,23.1546926038921,0.461809821535018,1,0,1,0,60,
,C03,SYBR,,Std-2,,,26.2372035339882,26.1245031580035,0.159382400202157,0.1,-1,0.1,0,60,
,C04,SYBR,,Std-2,,,26.0118027820188,26.1245031580035,0.159382400202157,0.1,-1,0.1,0,60,
,D03,SYBR,,Std-3,,,29.3632969998321,29.3883122652528,0.0353769276243171,0.01,-2,0.01,0,60,
,D04,SYBR,,Std-3,,,29.4133275306735,29.3883122652528,0.0353769276243171,0.01,-2,0.01,0,60,
,E03,SYBR,,Std-4,,,33.5402128890689,33.4750115162576,0.0922086657150373,0.001,-3,0.001,0,60,
,E04,SYBR,,Std-4,,,33.4098101434464,33.4750115162576,0.0922086657150373,0.001,-3,0.001,0,60,
,F03,SYBR,,Std-5,,,NaN,0,0,0.0001,-4,0,0,60,
,F04,SYBR,,Std-5,,,NaN,0,0,0.0001,-4,0,0,60,
